Date,Party Title,Event Code,Purchaser Email,Guest Name,Action,Quantity,Cost,Invoice,Invoice To
2026-08-23,Fruity Drinks for Grownups,SC-2026,freja.lindqvist@heliosschool.org,Freja Lindqvist,ADD,1,125,INV-1078,Freja Lindqvist
2026-08-23,Sushi & Sake Soirée,SC-2026,elena.torres@heliosschool.org,Marco Torres,ADD,1,300,,
2026-08-23,Sushi & Sake Soirée,SC-2026,freja.lindqvist@heliosschool.org,Anders Lindqvist,ADD,1,300,,
2026-08-24,Baegels and Meimosas,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,50,,
2026-08-24,Baegels and Meimosas,SC-2026,april.baxter@heliosschool.org,April Baxter,ADD,1,50,,
2026-08-24,Dink & Clink,SC-2026,elena.torres@heliosschool.org,Marco Torres,ADD,1,75,INV-1018,Elena Torres
2026-08-24,Dink & Clink,SC-2026,asha.chandra@heliosschool.org,Asha Chandra,ADD,1,75,,
2026-08-24,Dink & Clink,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,75,,
2026-08-24,Fondue & Fort Night,SC-2026,mina.park@heliosschool.org,Mina Park,ADD,1,65,,
2026-08-24,Fondue & Fort Night,SC-2026,mina.park@heliosschool.org,Owen Park,ADD,1,65,INV-1012,Mina Park
2026-08-24,Fruity Drinks for Grownups,SC-2026,elena.torres@heliosschool.org,Elena Torres,ADD,1,125,INV-1072,Elena Torres
2026-08-24,Fruity Drinks for Grownups,SC-2026,freja.lindqvist@heliosschool.org,Anders Lindqvist,ADD,1,125,,
2026-08-24,Sushi & Sake Soirée,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,300,,
2026-08-24,Sushi & Sake Soirée,SC-2026,abena.osei@heliosschool.org,Abena Osei,ADD,1,300,,
2026-08-25,Dink & Clink,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,75,,
2026-08-25,Dink & Clink,SC-2026,carmen.alvarez@heliosschool.org,Carmen Alvarez,ADD,1,75,INV-1024,Carmen Alvarez
2026-08-25,Dink & Clink,SC-2026,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,75,,
2026-08-25,Fondue & Fort Night,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,65,,
2026-08-25,Fondue & Fort Night,SC-2026,layla.haddad@heliosschool.org,Noor Haddad,ADD,1,65,,
2026-08-25,Fondue & Fort Night,SC-2026,layla.haddad@heliosschool.org,Ken Bartolome,ADD,1,65,INV-1015,Layla Haddad
2026-08-25,Fruity Drinks for Grownups,SC-2026,elena.torres@heliosschool.org,Marco Torres,ADD,1,125,,
2026-08-25,Fruity Drinks for Grownups,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,125,,
2026-08-25,Sushi & Sake Soirée,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,300,INV-1060,Sofia Marchetti
2026-08-25,Sushi & Sake Soirée,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,300,INV-1066,Layla Haddad
2026-08-26,Dink & Clink,SC-2026,deepa.natarajan@heliosschool.org,Karthik Natarajan,ADD,1,75,,
2026-08-26,Dink & Clink,SC-2026,freja.lindqvist@heliosschool.org,Freja Lindqvist,ADD,1,75,,
2026-08-26,Dink & Clink,SC-2026,jordan.whitfield@heliosschool.org,Jordan Whitfield,ADD,1,75,INV-1030,Jordan Whitfield
2026-08-26,Fondue & Fort Night,SC-2026,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,65,,
2026-08-26,Fruity Drinks for Grownups,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,125,,
2026-08-26,Fruity Drinks for Grownups,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,125,INV-1081,Colin Quinn
2026-08-26,Sushi & Sake Soirée,SC-2026,mina.park@heliosschool.org,Mina Park,ADD,1,300,,
2026-08-26,Sushi & Sake Soirée,SC-2026,april.baxter@heliosschool.org,April Baxter,ADD,1,300,,
2026-08-27,Dink & Clink,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,75,INV-1021,Sofia Marchetti
2026-08-27,Dink & Clink,SC-2026,freja.lindqvist@heliosschool.org,Anders Lindqvist,ADD,1,75,,
2026-08-27,Fruity Drinks for Grownups,SC-2026,deepa.natarajan@heliosschool.org,Karthik Natarajan,ADD,1,125,INV-1075,Deepa Natarajan
2026-08-27,Fruity Drinks for Grownups,SC-2026,april.baxter@heliosschool.org,April Baxter,ADD,1,125,,
2026-08-27,Sushi & Sake Soirée,SC-2026,mina.park@heliosschool.org,Daniel Park,ADD,1,300,,
2026-08-27,Sushi & Sake Soirée,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,300,,
2026-08-27,Wurst Helios Party,SC-2026,freja.lindqvist@heliosschool.org,Freja Lindqvist,ADD,1,75,,
2026-08-27,Wurst Helios Party,SC-2026,freja.lindqvist@heliosschool.org,Anders Lindqvist,ADD,1,75,INV-1039,Freja Lindqvist
2026-08-28,K-Pop for a Cause!,SC-2026,deepa.natarajan@heliosschool.org,Priya Natarajan,ADD,1,50,,
2026-08-28,K-Pop for a Cause!,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,50,,
2026-08-29,K-Pop for a Cause!,SC-2026,robin.whitfield@heliosschool.org,Ella Whitfield,ADD,1,50,INV-1033,Robin Whitfield
2026-08-30,K-Pop for a Cause!,SC-2026,colin.quinn@heliosschool.org,Harper Quinn,ADD,1,50,,
2026-08-30,K-Pop for a Cause!,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,50,,
2026-09-01,Tees & Teas,SC-2026,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,50,INV-1096,Dana Hawkins
2026-09-01,Tees & Teas,SC-2026,jordan.whitfield@heliosschool.org,Jordan Whitfield,ADD,1,50,,
2026-09-01,Tees & Teas,SC-2026,grace.kim@heliosschool.org,Grace Kim,ADD,1,50,,
2026-09-01,Tees & Teas,SC-2026,ruth.amari@heliosschool.org,Ruth Amari,ADD,1,50,INV-1099,Ruth Amari
2026-09-01,Wurst Helios Party,SC-2026,abena.osei@heliosschool.org,Abena Osei,ADD,1,75,,
2026-09-01,Wurst Helios Party,SC-2026,april.baxter@heliosschool.org,April Baxter,ADD,1,75,,
2026-09-01,Wurst Helios Party,SC-2026,mina.park@heliosschool.org,Daniel Park,ADD,1,75,INV-1042,Mina Park
2026-09-01,Wurst Helios Party,SC-2026,mina.park@heliosschool.org,Mina Park,ADD,1,75,,
2026-09-02,Inspire Without Pressure,SC-2026,asha.chandra@heliosschool.org,Asha Chandra,ADD,1,150,,
2026-09-02,Inspire Without Pressure,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,150,INV-1045,Deepa Natarajan
2026-09-02,Inspire Without Pressure,SC-2026,deepa.natarajan@heliosschool.org,Karthik Natarajan,ADD,1,150,,
2026-09-02,Inspire Without Pressure,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,150,,
2026-09-02,Inspire Without Pressure,SC-2026,robin.whitfield@heliosschool.org,Robin Whitfield,ADD,1,150,INV-1048,Robin Whitfield
2026-09-03,Nerf Blaster Bash,SC-2026,jordan.whitfield@heliosschool.org,Sam Whitfield,ADD,1,50,,
2026-09-03,Nerf Blaster Bash,SC-2026,elena.torres@heliosschool.org,Nico Torres,ADD,1,50,,
2026-09-03,Nerf Blaster Bash,SC-2026,april.baxter@heliosschool.org,Leo Baxter,ADD,1,50,INV-1102,April Baxter
2026-09-03,Nerf Blaster Bash,SC-2026,deepa.natarajan@heliosschool.org,Priya Natarajan,ADD,1,50,,
2026-09-03,Nerf Blaster Bash,SC-2026,layla.haddad@heliosschool.org,Noor Haddad,ADD,1,50,,
2026-09-03,Nerf Blaster Bash,SC-2026,mina.park@heliosschool.org,Owen Park,ADD,1,50,INV-1105,Mina Park
2026-09-03,Nerf Blaster Bash,SC-2026,sofia.marchetti@heliosschool.org,Lucia Marchetti,ADD,1,50,,
2026-09-03,Nerf Blaster Bash,SC-2026,mina.park@heliosschool.org,"Liam Park (sibling of Owen, age 4)",ADD,1,50,,
2026-09-07,Boozy Trivia,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,100,,
2026-09-07,Boozy Trivia,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,100,INV-1084,Colin Quinn
2026-09-07,Boozy Trivia,SC-2026,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,100,,
