Ticket ID,Party ID,Email,Name,Purchaser,Status,Price,Note,Invoice,Added By,Added
T041,P004,april.baxter@heliosschool.org,,april.baxter@heliosschool.org,Ticket,75,,,april.baxter@heliosschool.org,2026-09-01 13:00
T042,P004,daniel.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,75,,,mina.park@heliosschool.org,2026-09-01 13:00
T043,P004,mina.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,75,,,mina.park@heliosschool.org,2026-09-01 13:00
T044,P005,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Ticket,150,,,asha.chandra@heliosschool.org,2026-09-02 09:30
T045,P005,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,150,,,deepa.natarajan@heliosschool.org,2026-09-02 09:30
T046,P005,karthik.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,150,,,deepa.natarajan@heliosschool.org,2026-09-02 09:30
T047,P005,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,150,,,layla.haddad@heliosschool.org,2026-09-02 09:30
T048,P005,robin.whitfield@heliosschool.org,,robin.whitfield@heliosschool.org,Ticket,150,,,robin.whitfield@heliosschool.org,2026-09-02 09:30
T049,P006,freja.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,50,,,freja.lindqvist@heliosschool.org,2026-08-21 09:00
T050,P006,anders.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,50,,,freja.lindqvist@heliosschool.org,2026-08-22 09:01
T051,P006,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,50,,,sofia.marchetti@heliosschool.org,2026-08-23 09:02
T052,P006,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,50,,,sofia.marchetti@heliosschool.org,2026-08-24 09:03
T053,P006,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,50,,,deepa.natarajan@heliosschool.org,2026-08-21 09:04
T054,P006,karthik.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,50,,,deepa.natarajan@heliosschool.org,2026-08-22 09:05
T055,P006,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,50,,,layla.haddad@heliosschool.org,2026-08-23 09:06
T056,P006,april.baxter@heliosschool.org,,april.baxter@heliosschool.org,Ticket,50,,,april.baxter@heliosschool.org,2026-08-24 09:07
T057,P006,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Waitlist,50,,,jordan.whitfield@heliosschool.org,2026-09-03 21:12
T058,P006,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Waitlist,50,,,asha.chandra@heliosschool.org,2026-09-04 08:45
T059,P006,carmen.alvarez@heliosschool.org,,carmen.alvarez@heliosschool.org,Waitlist,50,,,carmen.alvarez@heliosschool.org,2026-09-05 17:02
T060,P007,elena.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,300,,,elena.torres@heliosschool.org,2026-08-22 12:00
T061,P007,marco.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,300,,,elena.torres@heliosschool.org,2026-08-23 12:01
T062,P007,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,300,,,sofia.marchetti@heliosschool.org,2026-08-24 12:02
T063,P007,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,300,,,sofia.marchetti@heliosschool.org,2026-08-25 12:03
T064,P007,mina.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,300,,,mina.park@heliosschool.org,2026-08-26 12:04
T065,P007,daniel.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,300,,,mina.park@heliosschool.org,2026-08-27 12:05
T066,P007,freja.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,300,,,freja.lindqvist@heliosschool.org,2026-08-22 12:06
T067,P007,anders.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,300,,,freja.lindqvist@heliosschool.org,2026-08-23 12:07
T068,P007,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,300,,,abena.osei@heliosschool.org,2026-08-24 12:08
T069,P007,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,300,,,layla.haddad@heliosschool.org,2026-08-25 12:09
T070,P007,april.baxter@heliosschool.org,,april.baxter@heliosschool.org,Ticket,300,,,april.baxter@heliosschool.org,2026-08-26 12:10
T071,P007,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,300,,,colin.quinn@heliosschool.org,2026-08-27 12:11
T072,P007,robin.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Waitlist,300,Happy to fill in last minute,,jordan.whitfield@heliosschool.org,2026-09-06 19:40
T073,P008,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,125,,,abena.osei@heliosschool.org,2026-08-21 15:00
T074,P008,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Ticket,125,,,asha.chandra@heliosschool.org,2026-08-22 15:01
T075,P008,carmen.alvarez@heliosschool.org,,carmen.alvarez@heliosschool.org,Ticket,125,,,carmen.alvarez@heliosschool.org,2026-08-23 15:02
T076,P008,elena.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,125,,,elena.torres@heliosschool.org,2026-08-24 15:03
T077,P008,marco.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,125,,,elena.torres@heliosschool.org,2026-08-25 15:04
T078,P008,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,125,,,deepa.natarajan@heliosschool.org,2026-08-26 15:05
T079,P008,karthik.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,125,,,deepa.natarajan@heliosschool.org,2026-08-27 15:06
T080,P008,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,125,,,sofia.marchetti@heliosschool.org,2026-08-21 15:07
T081,P008,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,125,,,sofia.marchetti@heliosschool.org,2026-08-22 15:08
T082,P008,freja.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,125,,,freja.lindqvist@heliosschool.org,2026-08-23 15:09
T083,P008,anders.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,125,,,freja.lindqvist@heliosschool.org,2026-08-24 15:10
T084,P008,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,125,,,layla.haddad@heliosschool.org,2026-08-25 15:11
T085,P008,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,125,,,colin.quinn@heliosschool.org,2026-08-26 15:12
T086,P008,april.baxter@heliosschool.org,,april.baxter@heliosschool.org,Ticket,125,,,april.baxter@heliosschool.org,2026-08-27 15:13
T087,P009,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,100,,,layla.haddad@heliosschool.org,2026-09-07 10:00
T088,P009,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,100,,,colin.quinn@heliosschool.org,2026-09-07 10:00
T089,P009,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,100,,,dana.hawkins@heliosschool.org,2026-09-07 10:00
T090,P010,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,150,,Sent,colin.quinn@heliosschool.org,2026-06-10 09:00
T091,P010,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,150,,Sent,dana.hawkins@heliosschool.org,2026-06-11 09:00
T092,P010,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,150,,Sent,jordan.whitfield@heliosschool.org,2026-06-12 09:00
T093,P010,robin.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,150,,Sent,jordan.whitfield@heliosschool.org,2026-06-13 09:00
T094,P010,elena.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,150,,Sent,elena.torres@heliosschool.org,2026-06-14 09:00
T095,P010,marco.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,150,,Sent,elena.torres@heliosschool.org,2026-06-15 09:00
T096,P010,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,150,,,sofia.marchetti@heliosschool.org,2026-06-16 09:00
T097,P010,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,150,,,sofia.marchetti@heliosschool.org,2026-06-17 09:00
T098,P010,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Ticket,150,,,asha.chandra@heliosschool.org,2026-06-18 09:00
T099,P010,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,150,,,abena.osei@heliosschool.org,2026-06-19 09:00
T100,P011,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,50,,,dana.hawkins@heliosschool.org,2026-09-01 08:00
T101,P011,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,50,,,jordan.whitfield@heliosschool.org,2026-09-01 08:00
T102,P011,grace.kim@heliosschool.org,,grace.kim@heliosschool.org,Ticket,50,,,grace.kim@heliosschool.org,2026-09-01 08:00
T103,P011,ruth.amari@heliosschool.org,,ruth.amari@heliosschool.org,Ticket,50,,,ruth.amari@heliosschool.org,2026-09-01 08:00
T104,P012,sam.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,50,,,jordan.whitfield@heliosschool.org,2026-09-03 17:00
T105,P012,nico.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,50,,,elena.torres@heliosschool.org,2026-09-03 17:00
T106,P012,leo.baxter@heliosschool.org,,april.baxter@heliosschool.org,Ticket,50,,,april.baxter@heliosschool.org,2026-09-03 17:00
T107,P012,priya.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,50,,,deepa.natarajan@heliosschool.org,2026-09-03 17:00
T108,P012,noor.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,50,,,layla.haddad@heliosschool.org,2026-09-03 17:00
T109,P012,owen.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,50,,,mina.park@heliosschool.org,2026-09-03 17:00
T110,P012,lucia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,50,,,sofia.marchetti@heliosschool.org,2026-09-03 17:00
T111,P012,,"Liam Park (sibling of Owen, age 4)",mina.park@heliosschool.org,Ticket,50,,,mina.park@heliosschool.org,2026-09-03 17:02
T112,P020,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,150,,Paid,jordan.whitfield@heliosschool.org,2025-08-10 09:00
T113,P020,robin.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,150,,Paid,jordan.whitfield@heliosschool.org,2025-08-11 09:00
T114,P020,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,150,,Paid,colin.quinn@heliosschool.org,2025-08-12 09:00
T115,P020,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,150,,Paid,dana.hawkins@heliosschool.org,2025-08-13 09:00
T116,P020,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Ticket,150,,Paid,asha.chandra@heliosschool.org,2025-08-14 09:00
T117,P020,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,150,,Paid,abena.osei@heliosschool.org,2025-08-15 09:00
T118,P021,sam.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,45,,Paid,jordan.whitfield@heliosschool.org,2025-08-20 09:00
T119,P021,ella.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,45,,Paid,jordan.whitfield@heliosschool.org,2025-08-20 09:00
T120,P021,nico.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,45,,Paid,elena.torres@heliosschool.org,2025-08-20 09:00
T121,P021,owen.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,45,,Paid,mina.park@heliosschool.org,2025-08-20 09:00
